	tokens1Source	tokens1AlignRaw	tokens2Source	tokens2AlignRaw
0	Personnages	Personnages	Personnages	Personnages
1	Granger	Granger	Granger	Granger
2	.	.	.	.
3	Châteaufort	Châteaufort	Châteaufort	Châteaufort
4	.	.	.	.
5	Charlot	Charlot	Charlot	Charlot
6	.	.	.	.
7	Paquier	Paquier	Paquier	Paquier
8	.	.	.	.
9	Fleury	Fleury	Fleury	Fleury
10	.	.	.	.
11	Corbineli	Corbineli	Corbineli	Corbineli
12	.	.	.	.
13	Genevote	Genevote	Genevote	Genevote
14	.	.	.	.
15	Manon	Manon	Manon	Manon
16	.	.	.	.
17	Gareau	Gareau	Gareau	Gareau
18	.	.	.	.
19	De	De	De	De
20	La	La	La	La
21	Tremblaye	Tremblaye	Tremblaye	Tremblaye
22	.	.	.	.
23	Un	Un	Un	Un
24	cuistre	cuistre	cuistre	cuistre
25	.	.	.	.
26	Acte	Acte	Acte	Acte
27	I	I	I	I
28	Scène	Scène	Scène	Scène
29	première	première	première	première
30	Granger	Granger	Granger	Granger
31	,	,	,	,
32	Châteaufort	Châteaufort	Châteaufort	Châteaufort
33	.	.	,	,
34	Granger	Granger	Paquier	Paquier
35	Ô	Ô	.	.
36	par	par	Granger	Granger
37	les	les	Par	Par
38	Dieux	Dieux	les	les
39	jumeaux	jumeaux	Dieux	Dieux
40	!	!	jumeaux	jumeaux
41	tous	tous	,	,
42	les	les	tous	tous
43	Monstres	Monstres	les	les
44	ne	ne	monstres	monstres
45	sont	sont	ne	ne
46	pas	pas	sont	sont
47	en	en	pas	pas
48	Afrique	Afrique	en	en
49	!	!	Afrique	Afrique
50	Et	Et	.	.
51	de	de	Et	Et
52	grâce	grâce	de	de
53	,	,	grâce	grâce
54	Satrape	Satrape	,	,
55	du	du	satrape	satrape
56	Palais	Palais	du	du
57	Stygial	Stygial	palais	palais
58	,	,	stygial	stygial
59	donne	donne	,	,
60	-	-	donne	donne
61	moi	moi	-	-
62	la	la	moi	moi
63	définition	définition	la	la
64	de	de	définition	définition
65	ton	ton	de	de
66	individu	individu	ton	ton
67	.	.	individu	individu
68	Ne	Ne	.	.
69	serais	serais	Ne	Ne
70	-	-	serais	serais
71	tu	tu	-	-
72	point	point	tu	tu
73	un	un	point	point
74	être	être	un	un
75	de	de	être	être
76	raison	raison	de	de
77	,	,	raison	raison
78	une	une	,	,
79	chimère	chimère	une	une
80	,	,	chimère	chimère
81	un	un	,	,
82	accident	accident	un	un
83	sans	sans	accident	accident
84	substance	substance	sans	sans
85	,	,	substance	substance
86	un	un	,	,
87	élixir	élixir	un	un
88	de	de	élixir	élixir
89	la	la	de	de
90	matière	matière	la	la
91	première	première	matière	matière
92	,	,	première	première
93	un	un	,	,
94	spectre	spectre	un	un
95	de	de	spectre	spectre
96	drap	drap	de	de
97	noir	noir	drap	drap
98	?	?	noir	noir
99	Ha	Ha	?	?
100	!	!	Ha	Ha
101	tu	tu	!	!
102	n	n	Tu	Tu
103	’	’	n	n
104	es	es	’	’
105	sans	sans	es	es
106	doute	doute	sans	sans
107	que	que	doute	doute
108	cela	cela	que	que
109	,	,	cela	cela
110	ou	ou	,	,
111	tout	tout	ou	ou
112	au	au	,	,
113	plus	plus	tout	tout
114	un	un	au	au
115	grimaud	grimaud	plus	plus
116	d	d	,	,
117	’	’	un	un
118	Enfer	Enfer	grimaud	grimaud
119	qui	qui	d	d
120	fait	fait	’	’
121	l	l	enfer	enfer
122	’	’	qui	qui
123	école	école	fait	fait
124	buissonnière	buissonnière	l	l
125	.	.	’	’
126	Châteaufort	Châteaufort	école	école
127	Puisque	Puisque	buissonnière	buissonnière
128	je	je	.	.
129	te	te	Châteaufort	Châteaufort
130	vois	vois	Puisque	Puisque
131	curieux	curieux	je	je
132	de	de	te	te
133	connaître	connaître	vois	vois
134	les	les	curieux	curieux
135	grandes	grandes	de	de
136	choses	choses	connaître	connaître
137	,	,	les	les
138	je	je	grandes	grandes
139	veux	veux	choses	choses
140	t	t	,	,
141	’	’	je	je
142	apprendre	apprendre	veux	veux
143	les	les	t	t
144	miracles	miracles	’	’
145	de	de	apprendre	apprendre
146	mon	mon	les	les
147	berceau	berceau	miracles	miracles
148	.	.	de	de
149	La	La	mon	mon
150	Nature	Nature	berceau	berceau
151	se	se	.	.
152	voyant	voyant	La	La
153	incommodée	incommodée	nature	nature
154	d	d	se	se
155	’	’	voyant	voyant
156	un	un	incommodée	incommodée
157	si	si	d	d
158	grand	grand	’	’
159	nombre	nombre	un	un
160	de	de	si	si
161	Divinités	Divinités	grand	grand
162	,	,	bien	bien
163	voulut	voulut	,	,
164	opposer	opposer	eut	eut
165	un	un	la	la
166	Hercule	Hercule	hardiesse	hardiesse
167	à	à	de	de
168	ces	ces	s	s
169	monstres	monstres	’	’
170	.	.	imaginer	imaginer
171	Cela	Cela	qu	qu
172	lui	lui	’	’
173	donna	donna	elle	elle
174	bien	bien	me	me
175	jusques	jusques	pouvait	pouvait
176	à	à	produire	produire
177	la	la	.	.
178	hardiesse	hardiesse	Pour	Pour
179	de	de	cet	cet
180	s	s	effet	effet
181	’	’	,	,
182	imaginer	imaginer	elle	elle
183	qu	qu	empoigna	empoigna
184	’	’	les	les
185	elle	elle	âmes	âmes
186	me	me	de	de
187	pouvait	pouvait	Samson	Samson
188	produire	produire	,	,
189	.	.	d	d
190	Pour	Pour	’	’
191	cet	cet	Hector	Hector
192	effet	effet	,	,
193	elle	elle	d	d
194	empoigna	empoigna	’	’
195	les	les	Achille	Achille
196	âmes	âmes	,	,
197	de	de	d	d
198	Samson	Samson	’	’
199	,	,	Ajax	Ajax
200	d	d	,	,
201	’	’	de	de
202	Hector	Hector	Cyrus	Cyrus
203	,	,	,	,
204	d	d	d	d
205	’	’	’	’
206	Achille	Achille	Épaminondas	Épaminondas
207	,	,	,	,
208	d	d	d	d
209	’	’	’	’
210	Ajax	Ajax	Alexandre	Alexandre
211	,	,	,	,
212	de	de	de	de
213	Cyrus	Cyrus	Romule	Romule
214	,	,	,	,
215	d	d	de	de
216	’	’	Scipion	Scipion
217	Épaminondas	Épaminondas	,	,
218	,	,	d	d
219	d	d	’	’
220	’	’	Hannibal	Hannibal
221	Alexandre	Alexandre	,	,
222	,	,	de	de
223	de	de	Sylla	Sylla
224	Romule	Romule	,	,
225	,	,	de	de
226	de	de	Pompée	Pompée
227	Scipion	Scipion	,	,
228	,	,	De	De
229	d	d	Pyrrhus	Pyrrhus
230	’	’	,	,
231	Hannibal	Hannibal	de	de
232	,	,	Caton	Caton
233	de	de	,	,
234	Sylla	Sylla	de	de
235	,	,	César	César
236	de	de	et	et
237	Pompée	Pompée	d	d
238	,	,	’	’
239	de	de	Antoine	Antoine
240	Pyrrhus	Pyrrhus	;	;
241	,	,	puis	puis
242	de	de	les	les
243	Caton	Caton	ayant	ayant
244	,	,	pulvérisées	pulvérisées
245	de	de	,	,
246	César	César	calcinées	calcinées
247	,	,	,	,
248	et	et	rectifiées	rectifiées
249	d	d	,	,
250	’	’	elle	elle
251	Antoine	Antoine	réduisit	réduisit
252	;	;	toute	toute
253	puis	puis	cette	cette
254	les	les	confection	confection
255	ayant	ayant	en	en
256	pulvérisées	pulvérisées	un	un
257	,	,	spirituel	spirituel
258	calcinées	calcinées	sublimé	sublimé
259	,	,	qui	qui
260	rectifiées	rectifiées	n	n
261	,	,	’	’
262	elle	elle	attendait	attendait
263	réduisit	réduisit	plus	plus
264	toute	toute	qu	qu
265	cette	cette	’	’
266	confection	confection	un	un
267	en	en	fourreau	fourreau
268	un	un	pour	pour
269	spirituel	spirituel	s	s
270	sublimé	sublimé	’	’
271	qui	qui	y	y
272	n	n	fourrer	fourrer
273	’	’	.	.
274	attendait	attendait	Nature	Nature
275	plus	plus	glorieuse	glorieuse
276	qu	qu	de	de
277	’	’	sa	sa
278	un	un	réussite	réussite
279	fourreau	fourreau	,	,
280	pour	pour	ne	ne
281	s	s	pût	pût
282	’	’	goûter	goûter
283	y	y	modérément	modérément
284	fourrer	fourrer	sa	sa
285	.	.	joie	joie
286	Nature	Nature	;	;
287	,	,	elle	elle
288	glorieuse	glorieuse	clabauda	clabauda
289	de	de	son	son
290	son	son	chef	chef
291	réussi	réussi	-	-
292	,	,	d	d
293	ne	ne	’	’
294	pût	pût	œuvre	œuvre
295	goûter	goûter	partout	partout
296	modérément	modérément	;	;
297	sa	sa	l	l
298	joie	joie	’	’
299	,	,	art	art
300	elle	elle	en	en
301	clabauda	clabauda	devint	devint
302	son	son	jaloux	jaloux
303	chef	chef	;	;
304	-	-	et	et
305	d	d	fâché	fâché
306	’	’	,	,
307	œuvre	œuvre	disait	disait
308	partout	partout	-	-
309	;	;	il	il
310	l	l	,	,
311	’	’	qu	qu
312	Art	Art	’	’
313	en	en	une	une
314	devint	devint	teigneuse	teigneuse
315	jaloux	jaloux	emportât	emportât
316	,	,	toute	toute
317	et	et	seule	seule
318	fâché	fâché	la	la
319	,	,	gloire	gloire
320	disait	disait	de	de
321	-	-	m	m
322	il	il	’	’
323	,	,	avoir	avoir
324	qu	qu	engendré	engendré
325	’	’	,	,
326	une	une	la	la
327	teigneuse	teigneuse	traita	traita
328	emportât	emportât	d	d
329	toute	toute	’	’
330	seule	seule	ingrate	ingrate
331	la	la	,	,
332	gloire	gloire	de	de
333	de	de	superbe	superbe
334	m	m	,	,
335	’	’	lui	lui
336	avoir	avoir	déchira	déchira
337	engendré	engendré	sa	sa
338	,	,	coiffe	coiffe
339	la	la	.	.
340	traita	traita	Nature	Nature
341	d	d	,	,
342	’	’	de	de
343	ingrate	ingrate	son	son
344	,	,	côté	côté
345	de	de	prit	prit
346	superbe	superbe	son	son
347	,	,	ennemi	ennemi
348	lui	lui	aux	aux
349	déchira	déchira	cheveux	cheveux
350	sa	sa	,	,
351	coiffe	coiffe	enfin	enfin
352	;	;	l	l
353	Nature	Nature	’	’
354	,	,	un	un
355	de	de	et	et
356	son	son	l	l
357	côté	côté	’	’
358	,	,	autre	autre
359	prit	prit	battit	battit
360	son	son	et	et
361	ennemi	ennemi	fut	fut
362	aux	aux	battu	battu
363	cheveux	cheveux	.	.
364	;	;	Le	Le
365	enfin	enfin	tintamarre	tintamarre
366	,	,	des	des
367	l	l	démentis	démentis
368	’	’	,	,
369	un	un	des	des
370	et	et	soufflets	soufflets
371	l	l	,	,
372	’	’	des	des
373	autre	autre	bastonnades	bastonnades
374	battit	battit	,	,
375	,	,	m	m
376	et	et	’	’
377	fut	fut	éveilla	éveilla
378	battu	battu	;	;
379	.	.	je	je
380	Le	Le	les	les
381	tintamarre	tintamarre	vis	vis
382	des	des	;	;
383	démentis	démentis	et	et
384	,	,	jugeant	jugeant
385	des	des	que	que
386	soufflets	soufflets	leurs	leurs
387	,	,	démêlés	démêlés
388	des	des	ne	ne
389	bastonnades	bastonnades	portaient	portaient
390	,	,	pas	pas
391	m	m	la	la
392	’	’	mine	mine
393	éveilla	éveilla	de	de
394	;	;	prendre	prendre
395	je	je	sitôt	sitôt
396	les	les	fin	fin
397	vis	vis	,	,
398	,	,	je	je
399	et	et	me	me
400	jugeant	jugeant	créais	créais
401	que	que	moi	moi
402	leurs	leurs	-	-
403	démêlés	démêlés	même	même
404	ne	ne	.	.
405	portaient	portaient	Granger	Granger
406	pas	pas	Ou	Ou
407	la	la	ça	ça
408	mine	mine	,	,
409	de	de	seigneur	seigneur
410	prendre	prendre	Capitan	Capitan
411	sitôt	sitôt	,	,
412	fin	fin	vous	vous
413	,	,	souhaitez	souhaitez
414	pour	pour	,	,
415	les	les	m	m
416	mettre	mettre	’	’
417	d	d	avez	avez
418	’	’	-	-
419	accord	accord	vous	vous
420	,	,	dit	dit
421	je	je	,	,
422	me	me	vous	vous
423	créais	créais	conjoindre	conjoindre
424	moi	moi	à	à
425	-	-	notre	notre
426	même	même	Manon	Manon
427	.	.	?	?
428	Depuis	Depuis	Châteaufort	Châteaufort
429	ce	ce	Il	Il
430	temps	temps	est	est
431	-	-	vrai	vrai
432	là	là	,	,
433	leur	leur	Dieu	Dieu
434	querelle	querelle	me	me
435	dure	dure	damne	damne
436	encore	encore	que	que
437	;	;	votre	votre
438	partout	partout	fille	fille
439	vous	vous	est	est
440	voyez	voyez	folle	folle
441	ces	ces	de	de
442	irréconciliables	irréconciliables	mon	mon
443	ennemis	ennemis	amour	amour
444	se	se	mais	mais
445	prêter	prêter	quoi	quoi
446	le	le	?	?
447	collet	collet	C	C
448	,	,	’	’
449	et	et	est	est
450	les	les	mon	mon
451	descriptions	descriptions	faible	faible
452	de	de	de	de
453	nos	nos	n	n
454	Écrivains	Écrivains	’	’
